article,disgust,anger,sadness,joy,fear
http://www.metrolyrics.com/life-aint-always-beautiful-lyrics-gary-allan.html,0.016452,0.037383,0.642216,0.743286,0.076475
http://www.metrolyrics.com/for-what-its-worth-lyrics-stevie-nicks.html,0.003853,0.116826,0.436486,0.053124,0.639546
http://www.metrolyrics.com/i-wish-i-still-smoked-cigarettes-lyrics-ronnie-dunn.html,0.033825,0.134471,0.631213,0.012251,0.492049
http://www.metrolyrics.com/always-and-forever-lyrics-heatwave.html,0.001122,0.010692,0.326618,0.661538,0.005208
http://www.metrolyrics.com/sharp-edges-lyrics-linkin-park.html,0.023203,0.204806,0.315206,0.321363,0.332712
http://www.metrolyrics.com/you-do-something-to-me-lyrics-paul-weller.html,0.021878,0.17571,0.155167,0.670575,0.030425
http://www.metrolyrics.com/nearly-witches-lyrics-panic-at-the-disco.html,0.089089,0.10169,0.623755,0.661112,0.157129
http://www.metrolyrics.com/eternal-lyrics-depeche-mode.html,0.105333,0.013655,0.049728,0.800108,0.050278
http://www.metrolyrics.com/carolina-lyrics-harry-styles.html,0.01273,0.023551,0.24345,0.485156,0.094822
http://www.metrolyrics.com/wassup-lyrics-asap-rocky.html,0.068633,0.844381,0.190922,0.043742,0.016677
http://www.metrolyrics.com/follow-my-rainbow-lyrics-sheena-easton.html,0.042802,0.053129,0.277472,0.689132,0.144816
http://www.metrolyrics.com/go-off-lyrics-lil-uzi-vert.html,1.9e-05,0.008327,0.025613,0.025422,0.030114
http://www.metrolyrics.com/replay-lyrics-zendaya.html,0.000152,0.00592,0.063132,0.028936,0.023165
http://www.metrolyrics.com/wake-up-lovin-you-lyrics-craig-morgan.html,0.05778,0.381074,0.360695,0.281544,0.182836
http://www.metrolyrics.com/silent-house-lyrics-dixie-chicks.html,0.0104,0.129797,0.291638,0.589788,0.029751
http://www.metrolyrics.com/that-day-is-coming-lyrics-the-collingsworth-family.html,0.031446,0.169809,0.258935,0.568869,0.033815
http://www.metrolyrics.com/jealous-lyrics-kidz-bop-kids.html,0.008178,0.197015,0.607142,0.059595,0.306113
http://www.metrolyrics.com/babel-lyrics-mumford-sons.html,0.039114,0.187081,0.784841,0.080591,0.116884
http://www.metrolyrics.com/except-for-monday-lyrics-lorrie-morgan.html,0.00459,0.041194,0.116279,0.791355,0.072794
http://www.metrolyrics.com/next-time-you-see-me-lyrics-grateful-dead.html,0.079762,0.167194,0.627159,0.198997,0.122251
http://www.metrolyrics.com/pets-lyrics-janes-addiction.html,0.202414,0.27813,0.061331,0.5018,0.067351
http://www.metrolyrics.com/1-day-lyrics-lopro.html,0.084656,0.220328,0.640642,0.040621,0.304561
http://www.metrolyrics.com/bubblegum-lyrics-the-stunners.html,0.517127,0.565639,0.115654,0.056584,0.039804
http://www.metrolyrics.com/back-to-god-lyrics-reba-mcentire.html,0.051839,0.159388,0.648434,0.084393,0.144384
http://www.metrolyrics.com/dirty-imbecile-lyrics-the-happy-fits.html,0.46921,0.14751,0.229716,0.527916,0.673905
http://www.metrolyrics.com/couldve-been-me-lyrics-billy-ray-cyrus.html,0.00465,0.065768,0.366548,0.546376,0.082657
http://www.metrolyrics.com/a-fathers-love-lyrics-george-strait.html,0.04958,0.264524,0.597141,0.101326,0.276111
http://www.metrolyrics.com/postcard-lyrics-widespread-panic.html,0.04194,0.341575,0.476603,0.158914,0.25061
http://www.metrolyrics.com/mountain-range-lyrics-ozark-mountain-daredevils.html,0.00931,0.173188,0.065521,0.64943,0.182315
http://www.metrolyrics.com/ml-discussions-into-the-mystic-lyrics-van-morrison/970.html,0.050411,0.257457,0.249228,0.383119,0.157122
http://www.metrolyrics.com/grun-grun-grun-sind-alle-meine-kleider-lyrics-kinder-lieder.html,0.37479,0.016788,0.32327,0.253665,0.064235
http://www.metrolyrics.com/feel-good-drag-lyrics-anberlin.html,0.060372,0.305126,0.116786,0.571312,0.039275
http://www.metrolyrics.com/rock-and-roll-fantasy-lyrics-bad-company.html,0.003237,0.08524,0.029969,0.879856,0.017374
http://www.metrolyrics.com/i-will-rise-again-lyrics-jason-gray.html,0.024058,0.121708,0.5766,0.011654,0.564383
http://www.metrolyrics.com/a-certain-romance-lyrics-arctic-monkeys.html,0.147517,0.394262,0.085691,0.486523,0.028173
http://www.metrolyrics.com/all-i-ever-wonder-lyrics-st-paul-and-the-broken-bones.html,0.185447,0.099199,0.498353,0.661891,0.448819
http://www.metrolyrics.com/pricetag-dont-you-give-me-everything-lyrics-pitch-perfect.html,0.007998,0.179111,0.09873,0.739917,0.018957
http://www.metrolyrics.com/sympathy-lyrics-goo-goo-dolls.html,0.069542,0.326037,0.470467,0.009751,0.497867
http://www.metrolyrics.com/foolhearted-man-lyrics-jo-dee-messina.html,0.088355,0.296704,0.109867,0.565744,0.032613
http://www.metrolyrics.com/diab-soule-lyrics-acid-bath.html,0.090149,0.437201,0.38655,0.058865,0.389619
http://www.metrolyrics.com/backseat-lyrics-lil-tracy.html,0.082186,0.292145,0.319555,0.133098,0.112714
http://www.metrolyrics.com/goodbye-to-you-lyrics-scandal.html,0.00521,0.02428,0.802216,0.183466,0.069655
http://www.metrolyrics.com/up-down-lyrics-akon.html,0.239342,0.152564,0.211234,0.174638,0.08128
http://www.metrolyrics.com/introduction-lyrics-panic-at-the-disco.html,0.028308,0.050364,0.06582,0.629816,0.639827
http://www.metrolyrics.com/to-live-is-to-fly-lyrics-townes-van-zandt.html,0.095391,0.276563,0.639233,0.086078,0.182729
http://www.metrolyrics.com/25-minutes-lyrics-michael-learns-to-rock.html,0.011059,0.136503,0.558433,0.289032,0.158318
http://www.metrolyrics.com/ever-since-new-york-lyrics-harry-styles.html,0.09336,0.30757,0.465935,0.006215,0.490161
http://www.metrolyrics.com/break-my-walls-down-lyrics-lexi-gomez.html,0.013979,0.142844,0.560787,0.283555,0.156699
